transaction_id,amount,oldbalanceOrg,newbalanceOrig,is_fraud
1,7280,5377,-1903,0
2,870,11599,10729,0
3,5400,8058,2658,0
4,5201,18206,13005,0
5,5744,12894,7150,0
6,6275,3939,-2336,0
7,476,2031,1555,0
8,4436,11208,6772,0
9,5588,1562,-4026,0
10,8332,11730,3398,0
11,1695,17724,16029,0
12,779,17152,16373,0
13,6959,14998,8039,0
14,2443,19680,17237,0
15,5321,17618,12297,0
16,5061,10308,5247,0
17,6430,10609,4179,0
18,1194,18675,17481,0
19,4565,9720,5155,0
20,3395,11172,7777,0
21,6406,15457,9051,0
22,8676,3939,-4737,0
23,9284,15345,6061,0
24,2568,17158,14590,0
25,7859,6435,-1424,0
26,2057,6392,4335,0
27,2757,8972,6215,0
28,9177,18617,9440,0
29,199,15799,15600,0
30,2744,16052,13308,0
31,3015,7044,4029,0
32,4668,15415,10747,0
33,1909,18274,16365,0
34,7744,14858,7114,0
35,1277,18572,17295,0
36,1538,6644,5106,0
37,3566,18124,14558,0
38,3900,18753,14853,0
39,8848,19384,10536,0
40,5403,18855,13452,0
41,8802,18920,10118,0
42,8443,17702,9259,0
43,7523,6153,-1370,0
44,2622,2894,272,0
45,7051,8991,1940,0
46,9565,16439,6874,0
47,6245,10467,4222,0
48,5496,6935,1439,0
49,7109,18107,10998,0
50,9680,3329,-6351,0
51,785,10327,9542,0
52,8236,3770,-4466,0
53,3162,5846,2684,0
54,1595,17651,16056,0
55,3953,17276,13323,0
56,7565,15633,8068,0
57,3083,14628,11545,0
58,1031,1569,538,0
59,3853,2973,-880,0
60,7999,3822,-4177,0
61,9702,1270,-8432,0
62,6883,17320,10437,0
63,12739,8641,-4925,1
64,171,9930,9759,0
65,4307,7680,3373,0
66,1005,2257,1252,0
67,7639,9250,1611,0
68,9477,6370,-3107,0
69,1026,5858,4832,0
70,7879,9581,1702,0
71,6449,14491,8042,0
72,7902,13436,5534,0
73,6873,13870,6997,0
74,7926,17504,9578,0
75,8539,7908,-631,0
76,888,11844,10956,0
77,9278,19687,10409,0
78,4897,5861,964,0
79,4869,3911,-958,0
80,6341,9991,3650,0
81,8581,12572,3991,0
82,8694,11298,2604,0
83,7218,8236,1018,0
84,5286,6565,1279,0
85,2072,18493,16421,0
86,74,7929,7855,0
87,8016,18634,10618,0
88,2578,19033,16455,0
89,5473,8351,2878,0
90,2037,15901,13864,0
91,2705,11638,8933,0
92,9697,6828,-2869,0
93,5268,12556,7288,0
94,5628,19099,13471,0
95,6746,9150,2404,0
96,401,11107,10706,0
97,5902,2757,-3145,0
98,3571,19193,15622,0
99,6194,12199,6005,0
100,3109,17295,14186,0
101,6288,13807,7519,0
102,8402,18535,10133,0
103,3114,6492,3378,0
104,7225,7302,77,0
105,2464,16929,14465,0
106,9006,5747,-3259,0
107,2741,15238,12497,0
108,8164,9402,1238,0
109,9772,11686,1914,0
110,5066,5681,615,0
111,8120,19891,11771,0
112,3850,4428,578,0
113,1038,8494,7456,0
114,7395,4955,-2440,0
115,512,15026,14514,0
116,6920,10244,3324,0
117,9072,1713,-7359,0
118,6948,12080,5132,0
119,4498,9521,5023,0
120,216,2746,2530,0
121,5144,18591,13447,0
122,5987,18168,12181,0
123,7731,3696,-4035,0
124,7045,13012,5967,0
125,1494,15688,14194,0
126,7868,6036,-1832,0
127,873,8127,7254,0
128,2800,4718,1918,0
129,7418,8910,1492,0
130,8765,3693,-5072,0
131,5126,18009,12883,0
132,6029,16858,10829,0
133,1767,16932,15165,0
134,7584,8692,1108,0
135,6384,7398,1014,0
136,6902,8252,1350,0
137,1688,12721,11033,0
138,3252,18939,15687,0
139,4646,12825,8179,0
140,1069,5187,4118,0
141,6678,1036,-5642,0
142,9924,19171,9247,0
143,3167,7283,4116,0
144,5925,16202,10277,0
145,9799,9060,-739,0
146,2703,9065,6362,0
147,3637,4880,1243,0
148,9565,6932,-2633,0
149,5460,9328,3868,0
150,1673,7333,5660,0
151,9731,14870,5139,0
152,5602,12268,6666,0
153,7402,6067,-1335,0
154,1316,16616,15300,0
155,6786,13075,6289,0
156,5874,18045,12171,0
157,9484,8973,-511,0
158,7536,11002,3466,0
159,8911,8887,-24,0
160,5585,1414,-4171,0
161,5540,7850,2310,0
162,4423,3729,-694,0
163,3758,12929,9171,0
164,673,15988,15315,0
165,2008,4897,2889,0
166,8004,3169,-4835,0
167,1505,14563,13058,0
168,3314,19262,15948,0
169,3773,13888,10115,0
170,5242,5570,328,0
171,1863,2515,652,0
172,6595,17958,11363,0
173,1301,13634,12333,0
174,3591,14798,11207,0
175,7564,5477,-2087,0
176,7290,17455,10165,0
177,1646,10551,8905,0
178,3706,15179,11473,0
179,708,1039,331,0
180,4747,11222,6475,0
181,864,17116,16252,0
182,8174,19284,11110,0
183,5865,19601,13736,0
184,7402,17049,9647,0
185,6538,5796,-742,0
186,5259,5606,347,0
187,5182,18667,13485,0
188,1717,9775,8058,0
189,5801,15864,10063,0
190,9935,15193,5258,0
191,5545,15676,10131,0
192,4941,11457,6516,0
193,3520,18199,14679,0
194,212,17044,16832,0
195,4228,16066,11838,0
196,8968,19895,10927,0
197,4399,1246,-3153,0
198,2337,7516,5179,0
199,8014,17800,9786,0
200,2941,14342,11401,0
201,7787,17491,9704,0
202,207,10030,9823,0
203,7135,2421,-4714,0
204,1940,13970,12030,0
205,6297,8283,1986,0
206,8810,16945,8135,0
207,9349,1255,-8094,0
208,4292,12019,7727,0
209,2521,16487,13966,0
